91285 PHTO Hilo Observations at 00Z 01 Sep 2015

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1009.0     12   29.8   24.8     75  20.00     10     15  302.2  361.6  305.8
 1000.0     90   27.8   24.2     81  19.45      5     17  300.9  358.4  304.4
  994.0    143   26.6   23.2     82  18.39      4     18  300.3  354.4  303.6
  984.0    233   25.8   22.4     82  17.68      2     19  300.3  352.4  303.5
  976.0    305   26.0   20.0     70  15.33      0     20  301.2  346.5  304.0
  959.0    460   25.4   19.4     69  15.02    355     19  302.1  346.7  304.9
  942.8    610   24.4   18.8     71  14.74    350     18  302.6  346.4  305.2
  925.0    777   23.2   18.2     73  14.43    350     18  303.0  346.0  305.6
  910.6    914   22.4   17.4     73  13.90    350     17  303.5  345.1  306.1
  894.0   1074   21.4   16.4     73  13.30    350     15  304.1  344.0  306.6
  879.2   1219   20.9   15.1     69  12.46    350     14  305.1  342.6  307.4
  857.0   1441   20.2   13.2     64  11.25    335     12  306.6  340.7  308.6
  850.0   1512   19.6   12.6     64  10.90    330     11  306.7  339.8  308.7
  824.0   1779   17.6   12.6     72  11.25    351     13  307.3  341.5  309.4
  819.2   1829   17.4   12.2     71  11.00    355     13  307.6  341.1  309.6
  790.5   2134   16.2    9.6     65   9.57    350     12  309.4  338.9  311.2
  782.0   2226   15.8    8.8     63   9.17    352     13  310.0  338.4  311.7
  762.6   2438   14.4    7.8     65   8.79    355     15  310.7  338.0  312.3
  739.0   2704   12.6    6.6     67   8.34      4     19  311.5  337.6  313.1
  735.6   2743   12.3    6.4     67   8.28      5     20  311.6  337.5  313.2
  700.0   3157    9.0    4.6     74   7.65      0     16  312.4  336.5  313.9
  696.0   3204    8.8    4.4     74   7.59    358     16  312.7  336.6  314.1
  676.0   3445    7.4    3.1     74   7.13    349     18  313.8  336.3  315.1
  658.8   3658    7.2    1.3     66   6.43    340     20  315.8  336.4  317.0
  635.0   3960    6.8   -1.2     57   5.55    328     19  318.7  336.9  319.8
  615.0   4222    5.6   -4.4     49   4.51    317     17  320.3  335.2  321.2
  611.6   4267    5.2   -4.9     48   4.37    315     17  320.4  334.9  321.2
  591.0   4546    3.0   -8.0     44   3.56    317     18  320.9  332.9  321.6
  580.0   4698    2.0  -16.0     25   1.90    319     19  321.5  328.1  321.9
  572.0   4809    1.2  -11.8     37   2.72    319     20  321.8  331.1  322.4
  567.2   4877    1.1  -14.5     30   2.20    320     20  322.5  330.1  322.9
  561.0   4965    1.0  -18.0     23   1.66    321     21  323.4  329.3  323.7
  558.0   5008    0.8  -17.2     25   1.79    322     21  323.6  329.9  324.0
  552.0   5095    0.2   -9.8     47   3.31    324     22  323.9  335.2  324.6
  546.0   5182   -0.3  -12.4     39   2.71    325     23  324.4  333.7  324.9
  541.0   5256   -0.7  -14.7     34   2.27    322     22  324.7  332.7  325.2
  523.0   5525   -2.3  -12.3     46   2.86    310     21  325.9  335.9  326.5
  501.0   5864   -4.9  -11.9     58   3.08    296     18  326.8  337.5  327.4
  500.0   5880   -4.9  -11.9     58   3.09    295     18  327.0  337.7  327.6
  494.0   5975   -5.3  -15.3     45   2.37    291     19  327.6  336.0  328.1
  487.0   6087   -6.3  -14.3     53   2.61    285     20  327.8  336.9  328.3
  486.4   6096   -6.3  -14.6     52   2.55    285     20  327.8  336.7  328.3
  478.0   6233   -7.1  -19.1     38   1.78    292     18  328.5  334.9  328.9
  473.0   6315   -7.5  -17.5     45   2.06    296     17  329.0  336.4  329.4
  467.8   6401   -8.1  -18.6     42   1.89    300     16  329.3  336.1  329.7
  454.0   6633   -9.7  -21.7     37   1.49    292     14  330.1  335.6  330.4
  449.7   6706  -10.3  -20.1     44   1.73    290     14  330.3  336.6  330.6
  448.0   6735  -10.5  -19.5     48   1.83    291     14  330.4  337.0  330.8
  432.0   7015  -11.5  -26.5     28   1.02    298     10  332.6  336.4  332.8
  415.3   7315  -14.1  -27.2     32   0.99    305      7  333.0  336.7  333.2
  414.0   7340  -14.3  -27.3     32   0.99    304      7  333.0  336.8  333.2
  405.0   7506  -15.3  -31.3     24   0.70    295     10  333.8  336.5  334.0
  401.0   7581  -15.7  -22.7     55   1.55    291     12  334.3  340.0  334.6
  400.0   7600  -15.7  -20.7     65   1.85    290     12  334.5  341.3  334.9
  399.0   7619  -15.7  -20.7     65   1.85    290     13  334.7  341.5  335.1
  398.9   7620  -15.7  -21.0     64   1.80    290     13  334.8  341.4  335.1
  397.0   7657  -15.1  -32.1     22   0.66    288     14  336.0  338.6  336.1
  395.0   7695  -15.3  -37.3     13   0.39    285     14  336.2  337.8  336.3
  389.0   7811  -15.3  -41.3      9   0.27    278     16  337.7  338.8  337.8
  383.1   7925  -16.2  -35.9     17   0.47    270     18  337.9  339.8  338.0
  378.0   8027  -17.1  -31.1     29   0.76    270     19  338.1  341.1  338.2
  362.0   8350  -19.1  -40.1     14   0.32    272     21  339.6  341.0  339.7
  324.7   9144  -25.4  -44.6     15   0.22    275     27  341.7  342.7  341.8
  311.4   9449  -27.8  -46.4     15   0.19    255     23  342.5  343.3  342.5
  300.0   9720  -29.9  -47.9     16   0.17    260     29  343.1  343.8  343.2
  297.0   9791  -30.5  -48.5     16   0.16    260     29  343.3  343.9  343.3
  273.0  10383  -35.5  -46.5     32   0.22    263     30  344.4  345.3  344.4
  263.0  10642  -37.3  -49.3     28   0.16    265     31  345.4  346.1  345.5
  262.0  10668  -37.5  -49.2     28   0.17    265     31  345.6  346.3  345.6
  253.0  10908  -39.1  -48.1     38   0.19    241     30  346.6  347.4  346.6
  250.6  10973  -38.9  -46.4     45   0.24    235     30  347.8  348.8  347.8
  250.0  10990  -38.9  -45.9     47   0.25    240     29  348.1  349.2  348.1
  247.0  11073  -39.5  -45.5     53   0.27    240     29  348.4  349.5  348.5
  225.0  11702  -45.3  -52.3     45   0.13    238     30  348.9  349.5  349.0
  216.0  11973  -46.5  -56.5     31   0.08    237     31  351.2  351.6  351.2
  210.0  12160  -47.3  -70.3      5   0.01    236     31  352.8  352.8  352.8
  204.0  12350  -48.9  -79.9      2   0.00    235     32  353.2  353.2  353.2
  200.0  12480  -49.9  -80.9      1   0.00    235     32  353.6  353.6  353.6
  199.5  12497  -50.0  -80.8      1   0.00    235     33  353.6  353.6  353.6
  174.0  13375  -57.1  -77.1      6   0.01    225     27  356.1  356.1  356.1
  170.0  13522  -57.9  -76.9      7   0.01    224     26  357.1  357.1  357.1
  150.0  14300  -63.9  -81.9      7   0.00    215     20  359.8  359.8  359.8
  128.3  15240  -71.6  -85.7     11   0.00    245     10  362.4  362.4  362.4
  128.0  15252  -71.7  -85.7     11   0.00    244     10  362.4  362.5  362.4
  124.0  15438  -73.7  -86.7     12   0.00    233     11  362.1  362.1  362.1
  119.0  15678  -74.9  -87.9     12   0.00    217     12  364.2  364.2  364.2
  106.0  16340  -79.9  -90.9     15   0.00    175     14  366.9  366.9  366.9
  103.0  16502  -80.1  -90.1     18   0.00    202      9  369.6  369.6  369.6
  101.0  16613  -77.7  -88.7     16   0.00    221      6  376.3  376.3  376.3
  100.0  16670  -77.3  -88.3     16   0.00    230      4  378.1  378.1  378.1
   96.9  16853  -73.7  -86.7     12   0.00    184     11  388.6  388.6  388.6
   93.4  17069  -75.0  -87.2     14   0.00    130     19  390.1  390.1  390.1
   89.2  17334  -76.7  -87.7     16   0.00    139     15  391.9  391.9  391.9
   88.6  17374  -75.8  -87.1     16   0.00    140     14  394.5  394.5  394.5
   87.5  17446  -74.1  -86.1     14   0.00    131     14  399.2  399.3  399.2
   85.2  17602  -74.3  -86.3     14   0.00    112     15  401.9  401.9  401.9
   83.3  17734  -72.7  -85.7     13   0.00     96     16  407.8  407.8  407.8
   79.8  17983  -73.2  -86.2     12   0.00     65     17  411.6  411.6  411.6
   75.8  18288  -73.9  -86.9     12   0.00     80     31  416.4  416.5  416.4
   75.6  18304  -73.9  -86.9     12   0.00     81     31  416.7  416.7  416.7
   72.0  18593  -70.3  -86.3      8   0.00    100     38  430.2  430.2  430.2
   72.0  18592  -70.3  -86.3      8   0.00    100     38  430.2  430.2  430.2
   70.0  18760  -70.3  -86.3      8   0.00     95     30  433.7  433.7  433.7
   68.4  18898  -69.7  -86.5      7   0.00     85     30  437.9  437.9  437.9
   64.1  19285  -67.9  -86.9      5   0.00    101     29  450.0  450.0  450.0
